Designator,Mid X,Mid Y,Rotation,Layer
BT1_12,65.75,-78.3705,0.0,bottom
BT1_11,154.75,-29.3705,0.0,bottom
BT1_10,21.25,-127.3705,0.0,bottom
BT1_9,65.75,-29.3705,0.0,bottom
BT1_8,110.25,-78.3705,0.0,bottom
BT1_7,110.25,-29.3705,0.0,bottom
BT1_6,154.75,-127.3705,0.0,bottom
BT1_5,65.75,-127.3705,0.0,bottom
BT1_4,154.75,-78.3705,0.0,bottom
BT1_3,110.25,-127.3705,0.0,bottom
BT1_2,21.25,-29.3705,0.0,bottom
BT1,21.25,-78.3705,0.0,bottom
C1_12,51.85,-64.4505,180.0,top
C1_11,96.35,-15.4505,180.0,top
C1_10,51.85,-113.4505,180.0,top
C1_9,96.35,-64.4505,180.0,top
C1_8,7.35,-64.4505,180.0,top
C1_7,140.85,-113.4505,180.0,top
C1_6,7.35,-15.4505,180.0,top
C1_5,140.85,-15.4505,180.0,top
C1_4,140.85,-64.4505,180.0,top
C1_3,7.35,-113.4505,180.0,top
C1_2,96.35,-113.4505,180.0,top
C1,51.85,-15.4505,180.0,top
C10_12,116.88,-67.0005,90.0,top
C10_11,72.38,-67.0005,90.0,top
C10_10,116.88,-18.0005,90.0,top
C10_9,72.38,-116.0005,90.0,top
C10_8,161.38,-18.0005,90.0,top
C10_7,27.88,-67.0005,90.0,top
C10_6,27.88,-18.0005,90.0,top
C10_5,27.88,-116.0005,90.0,top
C10_4,161.38,-116.0005,90.0,top
C10_3,161.38,-67.0005,90.0,top
C10_2,72.38,-18.0005,90.0,top
C10,116.88,-116.0005,90.0,top
C11_12,25.75,-115.8705,90.0,top
C11_11,25.75,-66.8705,90.0,top
C11_10,159.25,-115.8705,90.0,top
C11_9,159.25,-17.8705,90.0,top
C11_8,70.25,-115.8705,90.0,top
C11_7,159.25,-66.8705,90.0,top
C11_6,114.75,-17.8705,90.0,top
C11_5,25.75,-17.8705,90.0,top
C11_4,114.75,-115.8705,90.0,top
C11_3,114.75,-66.8705,90.0,top
C11_2,70.25,-66.8705,90.0,top
C11,70.25,-17.8705,90.0,top
C12_12,103.36,-18.1805,90.0,top
C12_11,58.86,-67.1805,90.0,top
C12_10,58.86,-116.1805,90.0,top
C12_9,14.36,-67.1805,90.0,top
C12_8,103.36,-67.1805,90.0,top
C12_7,147.86,-67.1805,90.0,top
C12_6,58.86,-18.1805,90.0,top
C12_5,103.36,-116.1805,90.0,top
C12_4,147.86,-18.1805,90.0,top
C12_3,14.36,-116.1805,90.0,top
C12_2,14.36,-18.1805,90.0,top
C12,147.86,-116.1805,90.0,top
C13_12,57.31,-18.1805,90.0,top
C13_11,12.81,-116.1805,90.0,top
C13_10,146.31,-116.1805,90.0,top
C13_9,146.31,-67.1805,90.0,top
C13_8,101.81,-18.1805,90.0,top
C13_7,146.31,-18.1805,90.0,top
C13_6,101.81,-116.1805,90.0,top
C13_5,12.81,-67.1805,90.0,top
C13_4,101.81,-67.1805,90.0,top
C13_3,57.31,-67.1805,90.0,top
C13_2,57.31,-116.1805,90.0,top
C13,12.81,-18.1805,90.0,top
C2_12,96.325,-120.4255,180.0,top
C2_11,96.325,-71.4255,180.0,top
C2_10,51.825,-22.4255,180.0,top
C2_9,140.825,-71.4255,180.0,top
C2_8,7.325,-120.4255,180.0,top
C2_7,51.825,-71.4255,180.0,top
C2_6,7.325,-71.4255,180.0,top
C2_5,140.825,-22.4255,180.0,top
C2_4,51.825,-120.4255,180.0,top
C2_3,96.325,-22.4255,180.0,top
C2_2,7.325,-22.4255,180.0,top
C2,140.825,-120.4255,180.0,top
C3_12,24.0,-72.1005,0.0,top
C3_11,113.0,-72.1005,0.0,top
C3_10,157.5,-121.1005,0.0,top
C3_9,68.5,-121.1005,0.0,top
C3_8,157.5,-72.1005,0.0,top
C3_7,157.5,-23.1005,0.0,top
C3_6,24.0,-121.1005,0.0,top
C3_5,68.5,-23.1005,0.0,top
C3_4,24.0,-23.1005,0.0,top
C3_3,113.0,-121.1005,0.0,top
C3_2,68.5,-72.1005,0.0,top
C3,113.0,-23.1005,0.0,top
C4_12,23.979999,-73.6505,0.0,top
C4_11,68.479999,-122.6505,0.0,top
C4_10,112.979999,-73.6505,0.0,top
C4_9,157.479999,-73.6505,0.0,top
C4_8,68.479999,-24.6505,0.0,top
C4_7,23.979999,-122.6505,0.0,top
C4_6,157.479999,-122.6505,0.0,top
C4_5,112.979999,-122.6505,0.0,top
C4_4,157.479999,-24.6505,0.0,top
C4_3,112.979999,-24.6505,0.0,top
C4_2,68.479999,-73.6505,0.0,top
C4,23.979999,-24.6505,0.0,top
C8_12,162.96,-67.0105,270.0,top
C8_11,162.96,-116.0105,270.0,top
C8_10,29.46,-18.0105,270.0,top
C8_9,118.46,-67.0105,270.0,top
C8_8,118.46,-18.0105,270.0,top
C8_7,29.46,-116.0105,270.0,top
C8_6,73.96,-18.0105,270.0,top
C8_5,118.46,-116.0105,270.0,top
C8_4,73.96,-67.0105,270.0,top
C8_3,29.46,-67.0105,270.0,top
C8_2,73.96,-116.0105,270.0,top
C8,162.96,-18.0105,270.0,top
C9_12,76.19,-18.0405,90.0,top
C9_11,76.19,-116.0405,90.0,top
C9_10,120.69,-116.0405,90.0,top
C9_9,31.69,-116.0405,90.0,top
C9_8,165.19,-67.0405,90.0,top
C9_7,76.19,-67.0405,90.0,top
C9_6,165.19,-116.0405,90.0,top
C9_5,165.19,-18.0405,90.0,top
C9_4,31.69,-18.0405,90.0,top
C9_3,31.69,-67.0405,90.0,top
C9_2,120.69,-67.0405,90.0,top
C9,120.69,-18.0405,90.0,top
FID1_12,5.5,-38.0005,0.0,top
FID1_11,5.5,-136.0005,0.0,top
FID1_10,94.5,-136.0005,0.0,top
FID1_9,50.0,-87.0005,0.0,top
FID1_8,94.5,-87.0005,0.0,top
FID1_7,139.0,-136.0005,0.0,top
FID1_6,50.0,-38.0005,0.0,top
FID1_5,50.0,-136.0005,0.0,top
FID1_4,5.5,-87.0005,0.0,top
FID1_3,139.0,-87.0005,0.0,top
FID1_2,139.0,-38.0005,0.0,top
FID1,94.5,-38.0005,0.0,top
FID2_12,25.2,-87.5005,0.0,top
FID2_11,25.2,-136.5005,0.0,top
FID2_10,114.2,-87.5005,0.0,top
FID2_9,158.7,-38.5005,0.0,top
FID2_8,158.7,-136.5005,0.0,top
FID2_7,69.7,-87.5005,0.0,top
FID2_6,114.2,-136.5005,0.0,top
FID2_5,114.2,-38.5005,0.0,top
FID2_4,69.7,-38.5005,0.0,top
FID2_3,25.2,-38.5005,0.0,top
FID2_2,158.7,-87.5005,0.0,top
FID2,69.7,-136.5005,0.0,top
FID3_12,168.0,-114.0005,0.0,top
FID3_11,168.0,-65.0005,0.0,top
FID3_10,79.0,-65.0005,0.0,top
FID3_9,34.5,-114.0005,0.0,top
FID3_8,168.0,-16.0005,0.0,top
FID3_7,123.5,-114.0005,0.0,top
FID3_6,34.5,-65.0005,0.0,top
FID3_5,34.5,-16.0005,0.0,top
FID3_4,123.5,-65.0005,0.0,top
FID3_3,123.5,-16.0005,0.0,top
FID3_2,79.0,-16.0005,0.0,top
FID3,79.0,-114.0005,0.0,top
J1_12,110.25,-62.2755,0.0,bottom
J1_11,65.75,-62.2755,0.0,bottom
J1_10,154.75,-111.2755,0.0,bottom
J1_9,21.25,-111.2755,0.0,bottom
J1_8,21.25,-62.2755,0.0,bottom
J1_7,65.75,-111.2755,0.0,bottom
J1_6,154.75,-62.2755,0.0,bottom
J1_5,110.25,-111.2755,0.0,bottom
J1_4,110.25,-13.2755,0.0,bottom
J1_3,21.25,-13.2755,0.0,bottom
J1_2,154.75,-13.2755,0.0,bottom
J1,65.75,-13.2755,0.0,bottom
J4_12,168.5,-89.0005,0.0,bottom
J4_11,79.5,-40.0005,0.0,bottom
J4_10,79.5,-89.0005,0.0,bottom
J4_9,35.0,-138.0005,0.0,bottom
J4_8,124.0,-138.0005,0.0,bottom
J4_7,124.0,-89.0005,0.0,bottom
J4_6,168.5,-138.0005,0.0,bottom
J4_5,79.5,-138.0005,0.0,bottom
J4_4,124.0,-40.0005,0.0,bottom
J4_3,168.5,-40.0005,0.0,bottom
J4_2,35.0,-89.0005,0.0,bottom
J4,35.0,-40.0005,0.0,bottom
KIKIT_FID_B_1,2.5,-2.5,0.0,bottom
KIKIT_FID_B_2,173.5,-2.5,0.0,bottom
KIKIT_FID_B_3,2.5,-158.5015,0.0,bottom
KIKIT_FID_B_4,173.5,-158.5015,0.0,bottom
KIKIT_FID_T_1,2.5,-2.5,0.0,top
KIKIT_FID_T_2,173.5,-2.5,0.0,top
KIKIT_FID_T_3,2.5,-158.5015,0.0,top
KIKIT_FID_T_4,173.5,-158.5015,0.0,top
KIKIT_TO_1,0.0,0.0,0.0,top
KIKIT_TO_2,176.0,0.0,0.0,top
KIKIT_TO_3,0.0,-161.0015,0.0,top
L102_12,144.05,-116.1505,270.0,top
L102_11,10.55,-116.1505,270.0,top
L102_10,99.55,-18.1505,270.0,top
L102_9,99.55,-116.1505,270.0,top
L102_8,99.55,-67.1505,270.0,top
L102_7,55.05,-18.1505,270.0,top
L102_6,55.05,-67.1505,270.0,top
