Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_8, BT1_7, BT1_6, BT1_5, BT1_4, BT1_3, BT1_2, BT1",BAT-TH_CR2032-BS-6-1,8,Battery,C70377
"C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",0603,8,10u,C95839
"C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0603,40,2.2u,C23630
"C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12",0603,8,4.7u,C23630
"C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0603,8,22u,C59461
"C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5",0603,16,100nF,C30926
"C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4",0603,8,4.7uF,C1705
"J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x04_P2.54mm_Horizontal,16,Conn_01x04,C91552
"L102_8, L102_7, L102_6, L102_5, L102_4, L102_3, L102_2, L102",L_Wurth_WE-LQSH-2010,8,0.47uH,C89446
"R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R101_8, R101_7, R101_6, R101_5, R101_4, R101_3, R101_2, R101, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8",0603,32,100k,C25803
"R103_8, R103_7, R103_6, R103_5, R103_4, R103_3, R103_2, R103, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0603,16,JMP,C21189
"R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11",0603,8,390k,C23150
"R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13",0603,16,4.7k,C23162
"R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4",0603,8,91k,C326721
"R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0603,8,511k,C2684557
"SW3_8, SW3_7, SW3_6, SW3_5, SW3_4, SW3_3, SW3_2, SW3",SW_SKRPACE010,8,SW_MEC_5E,C139797
"SW5_8, SW5_7, SW5_6, SW5_5, SW5_4, SW5_3, SW5_2, SW5",SW-SMD_SK-3245S-L1-A-1,8,SW_SPDT_321,C405951
"U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",LQFP-32_7x7mm_P0.8mm,8,STM32G030K8Tx,C724044
"U101_8, U101_7, U101_6, U101_5, U101_4, U101_3, U101_2, U101",VREG_TPS63802DLAR,8,TPS63802DLAR,C2845237
