Designator,Mid X,Mid Y,Rotation,Layer
BT1_12,110.25,-78.3705,0.0,bottom
BT1_11,154.75,-29.3705,0.0,bottom
BT1_10,154.75,-127.3705,0.0,bottom
BT1_9,65.75,-78.3705,0.0,bottom
BT1_8,110.25,-29.3705,0.0,bottom
BT1_7,110.25,-127.3705,0.0,bottom
BT1_6,65.75,-29.3705,0.0,bottom
BT1_5,21.25,-127.3705,0.0,bottom
BT1_4,65.75,-127.3705,0.0,bottom
BT1_3,21.25,-78.3705,0.0,bottom
BT1_2,21.25,-29.3705,0.0,bottom
BT1,154.75,-78.3705,0.0,bottom
C1_12,96.35,-15.4505,180.0,top
C1_11,7.35,-15.4505,180.0,top
C1_10,51.85,-113.4505,180.0,top
C1_9,51.85,-15.4505,180.0,top
C1_8,96.35,-113.4505,180.0,top
C1_7,140.85,-113.4505,180.0,top
C1_6,140.85,-15.4505,180.0,top
C1_5,7.35,-64.4505,180.0,top
C1_4,140.85,-64.4505,180.0,top
C1_3,51.85,-64.4505,180.0,top
C1_2,7.35,-113.4505,180.0,top
C1,96.35,-64.4505,180.0,top
C10_12,161.38,-116.0005,90.0,top
C10_11,72.38,-18.0005,90.0,top
C10_10,116.88,-116.0005,90.0,top
C10_9,161.38,-67.0005,90.0,top
C10_8,116.88,-18.0005,90.0,top
C10_7,72.38,-67.0005,90.0,top
C10_6,27.88,-18.0005,90.0,top
C10_5,27.88,-67.0005,90.0,top
C10_4,27.88,-116.0005,90.0,top
C10_3,72.38,-116.0005,90.0,top
C10_2,116.88,-67.0005,90.0,top
C10,161.38,-18.0005,90.0,top
C11_12,25.75,-66.8705,90.0,top
C11_11,70.25,-66.8705,90.0,top
C11_10,70.25,-115.8705,90.0,top
C11_9,114.75,-17.8705,90.0,top
C11_8,25.75,-115.8705,90.0,top
C11_7,70.25,-17.8705,90.0,top
C11_6,159.25,-17.8705,90.0,top
C11_5,114.75,-115.8705,90.0,top
C11_4,114.75,-66.8705,90.0,top
C11_3,159.25,-115.8705,90.0,top
C11_2,159.25,-66.8705,90.0,top
C11,25.75,-17.8705,90.0,top
C12_12,147.86,-116.1805,90.0,top
C12_11,14.36,-116.1805,90.0,top
C12_10,58.86,-18.1805,90.0,top
C12_9,147.86,-67.1805,90.0,top
C12_8,103.36,-67.1805,90.0,top
C12_7,103.36,-18.1805,90.0,top
C12_6,103.36,-116.1805,90.0,top
C12_5,14.36,-67.1805,90.0,top
C12_4,58.86,-116.1805,90.0,top
C12_3,147.86,-18.1805,90.0,top
C12_2,58.86,-67.1805,90.0,top
C12,14.36,-18.1805,90.0,top
C13_12,146.31,-116.1805,90.0,top
C13_11,57.31,-67.1805,90.0,top
C13_10,12.81,-18.1805,90.0,top
C13_9,146.31,-67.1805,90.0,top
C13_8,101.81,-116.1805,90.0,top
C13_7,101.81,-67.1805,90.0,top
C13_6,12.81,-67.1805,90.0,top
C13_5,101.81,-18.1805,90.0,top
C13_4,57.31,-116.1805,90.0,top
C13_3,57.31,-18.1805,90.0,top
C13_2,12.81,-116.1805,90.0,top
C13,146.31,-18.1805,90.0,top
C2_12,51.825,-120.4255,180.0,top
C2_11,51.825,-71.4255,180.0,top
C2_10,51.825,-22.4255,180.0,top
C2_9,96.325,-71.4255,180.0,top
C2_8,140.825,-120.4255,180.0,top
C2_7,96.325,-22.4255,180.0,top
C2_6,140.825,-22.4255,180.0,top
C2_5,7.325,-120.4255,180.0,top
C2_4,96.325,-120.4255,180.0,top
C2_3,7.325,-71.4255,180.0,top
C2_2,140.825,-71.4255,180.0,top
C2,7.325,-22.4255,180.0,top
C3_12,58.9,-77.145501,270.0,top
C3_11,103.4,-77.145501,270.0,top
C3_10,58.9,-126.145501,270.0,top
C3_9,147.9,-126.145501,270.0,top
C3_8,14.4,-126.145501,270.0,top
C3_7,147.9,-77.145501,270.0,top
C3_6,147.9,-28.145501,270.0,top
C3_5,58.9,-28.145501,270.0,top
C3_4,14.4,-77.145501,270.0,top
C3_3,103.4,-28.145501,270.0,top
C3_2,14.4,-28.145501,270.0,top
C3,103.4,-126.145501,270.0,top
C4_12,12.85,-77.1255,270.0,top
C4_11,146.35,-126.1255,270.0,top
C4_10,12.85,-28.1255,270.0,top
C4_9,101.85,-28.1255,270.0,top
C4_8,57.35,-126.1255,270.0,top
C4_7,146.35,-28.1255,270.0,top
C4_6,57.35,-77.1255,270.0,top
C4_5,101.85,-77.1255,270.0,top
C4_4,57.35,-28.1255,270.0,top
C4_3,12.85,-126.1255,270.0,top
C4_2,101.85,-126.1255,270.0,top
C4,146.35,-77.1255,270.0,top
C5_12,123.55,-116.1005,180.0,top
C5_11,34.55,-116.1005,180.0,top
C5_10,34.55,-67.1005,180.0,top
C5_9,168.05,-18.1005,180.0,top
C5_8,79.05,-116.1005,180.0,top
C5_7,168.05,-116.1005,180.0,top
C5_6,79.05,-18.1005,180.0,top
C5_5,123.55,-18.1005,180.0,top
C5_4,34.55,-18.1005,180.0,top
C5_3,123.55,-67.1005,180.0,top
C5_2,79.05,-67.1005,180.0,top
C5,168.05,-67.1005,180.0,top
C8_12,29.46,-116.0105,270.0,top
C8_11,29.46,-18.0105,270.0,top
C8_10,73.96,-18.0105,270.0,top
C8_9,29.46,-67.0105,270.0,top
C8_8,162.96,-18.0105,270.0,top
C8_7,73.96,-67.0105,270.0,top
C8_6,118.46,-18.0105,270.0,top
C8_5,73.96,-116.0105,270.0,top
C8_4,118.46,-67.0105,270.0,top
C8_3,118.46,-116.0105,270.0,top
C8_2,162.96,-67.0105,270.0,top
C8,162.96,-116.0105,270.0,top
C9_12,165.19,-116.0405,90.0,top
C9_11,76.19,-18.0405,90.0,top
C9_10,31.69,-67.0405,90.0,top
C9_9,165.19,-67.0405,90.0,top
C9_8,165.19,-18.0405,90.0,top
C9_7,76.19,-116.0405,90.0,top
C9_6,31.69,-116.0405,90.0,top
C9_5,120.69,-67.0405,90.0,top
C9_4,76.19,-67.0405,90.0,top
C9_3,120.69,-18.0405,90.0,top
C9_2,31.69,-18.0405,90.0,top
C9,120.69,-116.0405,90.0,top
FID1_12,5.5,-38.5005,0.0,top
FID1_11,5.5,-87.5005,0.0,top
FID1_10,94.5,-136.5005,0.0,top
FID1_9,5.5,-136.5005,0.0,top
FID1_8,139.0,-87.5005,0.0,top
FID1_7,50.0,-38.5005,0.0,top
FID1_6,50.0,-136.5005,0.0,top
FID1_5,50.0,-87.5005,0.0,top
FID1_4,94.5,-87.5005,0.0,top
FID1_3,94.5,-38.5005,0.0,top
FID1_2,139.0,-136.5005,0.0,top
FID1,139.0,-38.5005,0.0,top
FID2_12,123.5,-16.0005,0.0,top
FID2_11,79.0,-114.0005,0.0,top
FID2_10,123.5,-114.0005,0.0,top
FID2_9,34.5,-65.0005,0.0,top
FID2_8,123.5,-65.0005,0.0,top
FID2_7,168.0,-16.0005,0.0,top
FID2_6,34.5,-16.0005,0.0,top
FID2_5,168.0,-65.0005,0.0,top
FID2_4,79.0,-65.0005,0.0,top
FID2_3,168.0,-114.0005,0.0,top
FID2_2,79.0,-16.0005,0.0,top
FID2,34.5,-114.0005,0.0,top
FID3_12,25.2,-38.5005,0.0,top
FID3_11,158.7,-87.5005,0.0,top
FID3_10,69.7,-87.5005,0.0,top
FID3_9,25.2,-136.5005,0.0,top
FID3_8,114.2,-38.5005,0.0,top
FID3_7,25.2,-87.5005,0.0,top
FID3_6,114.2,-87.5005,0.0,top
FID3_5,69.7,-136.5005,0.0,top
FID3_4,69.7,-38.5005,0.0,top
FID3_3,114.2,-136.5005,0.0,top
FID3_2,158.7,-38.5005,0.0,top
FID3,158.7,-136.5005,0.0,top
J1_12,110.25,-62.2755,0.0,bottom
J1_11,110.25,-111.2755,0.0,bottom
J1_10,110.25,-13.2755,0.0,bottom
J1_9,154.75,-111.2755,0.0,bottom
J1_8,21.25,-13.2755,0.0,bottom
J1_7,21.25,-62.2755,0.0,bottom
J1_6,65.75,-13.2755,0.0,bottom
J1_5,154.75,-13.2755,0.0,bottom
J1_4,65.75,-62.2755,0.0,bottom
J1_3,154.75,-62.2755,0.0,bottom
J1_2,21.25,-111.2755,0.0,bottom
J1,65.75,-111.2755,0.0,bottom
J4_12,168.575,-138.1855,0.0,bottom
J4_11,168.575,-89.1855,0.0,bottom
J4_10,79.575,-89.1855,0.0,bottom
J4_9,79.575,-138.1855,0.0,bottom
J4_8,124.075,-138.1855,0.0,bottom
J4_7,35.075,-40.1855,0.0,bottom
J4_6,79.575,-40.1855,0.0,bottom
J4_5,168.575,-40.1855,0.0,bottom
J4_4,124.075,-89.1855,0.0,bottom
J4_3,35.075,-89.1855,0.0,bottom
J4_2,124.075,-40.1855,0.0,bottom
J4,35.075,-138.1855,0.0,bottom
KIKIT_FID_B_1,2.5,-2.5,0.0,bottom
KIKIT_FID_B_2,173.5,-2.5,0.0,bottom
KIKIT_FID_B_3,2.5,-158.5015,0.0,bottom
KIKIT_FID_T_1,2.5,-2.5,0.0,top
KIKIT_FID_T_2,173.5,-2.5,0.0,top
KIKIT_FID_T_3,2.5,-158.5015,0.0,top
KIKIT_TO_1,0.0,0.0,0.0,top
KIKIT_TO_2,176.0,0.0,0.0,top
KIKIT_TO_3,0.0,-161.0015,0.0,top
L102_12,99.55,-116.1505,270.0,top
L102_11,144.05,-18.1505,270.0,top
L102_10,144.05,-67.1505,270.0,top
L102_9,10.55,-18.1505,270.0,top
L102_8,10.55,-67.1505,270.0,top
L102_7,55.05,-116.1505,270.0,top
L102_6,99.55,-18.1505,270.0,top
L102_5,55.05,-18.1505,270.0,top
L102_4,144.05,-116.1505,270.0,top
L102_3,99.55,-67.1505,270.0,top
L102_2,55.05,-67.1505,270.0,top
L102,10.55,-116.1505,270.0,top
R1_12,102.569999,-129.8005,0.0,top
R1_11,147.069999,-80.8005,0.0,top
R1_10,13.569999,-31.8005,0.0,top
R1_9,58.069999,-129.8005,0.0,top
R1_8,102.569999,-80.8005,0.0,top
R1_7,13.569999,-80.8005,0.0,top
R1_6,58.069999,-80.8005,0.0,top
R1_5,147.069999,-129.8005,0.0,top
R1_4,102.569999,-31.8005,0.0,top
R1_3,13.569999,-129.8005,0.0,top
R1_2,58.069999,-31.8005,0.0,top
R1,147.069999,-31.8005,0.0,top
R101_12,23.25,-17.8855,270.0,top
R101_11,67.75,-17.8855,270.0,top
R101_10,67.75,-66.8855,270.0,top
R101_9,156.75,-115.8855,270.0,top
R101_8,67.75,-115.8855,270.0,top
R101_7,156.75,-17.8855,270.0,top
R101_6,112.25,-17.8855,270.0,top
R101_5,23.25,-115.8855,270.0,top
R101_4,112.25,-115.8855,270.0,top
R101_3,112.25,-66.8855,270.0,top
R101_2,23.25,-66.8855,270.0,top
R101,156.75,-66.8855,270.0,top
R11_12,15.95,-116.1505,90.0,top
R11_11,60.45,-116.1505,90.0,top
R11_10,149.45,-67.1505,90.0,top
R11_9,15.95,-67.1505,90.0,top
R11_8,104.95,-18.1505,90.0,top
R11_7,149.45,-18.1505,90.0,top
R11_6,104.95,-116.1505,90.0,top
R11_5,104.95,-67.1505,90.0,top
R11_4,60.45,-67.1505,90.0,top
R11_3,149.45,-116.1505,90.0,top
R11_2,15.95,-18.1505,90.0,top
R11,60.45,-18.1505,90.0,top
R12_12,109.25,-116.6105,0.0,top
R12_11,64.75,-67.6105,0.0,top
R12_10,20.25,-67.6105,0.0,top
R12_9,109.25,-67.6105,0.0,top
R12_8,153.75,-18.6105,0.0,top
R12_7,20.25,-116.6105,0.0,top
R12_6,153.75,-67.6105,0.0,top
R12_5,64.75,-18.6105,0.0,top
R12_4,20.25,-18.6105,0.0,top
R12_3,153.75,-116.6105,0.0,top
R12_2,64.75,-116.6105,0.0,top
R12,109.25,-18.6105,0.0,top
R13_12,19.44,-115.0305,180.0,top
R13_11,152.94,-115.0305,180.0,top
R13_10,19.44,-17.0305,180.0,top
R13_9,108.44,-17.0305,180.0,top
R13_8,63.94,-66.0305,180.0,top
R13_7,63.94,-115.0305,180.0,top
R13_6,152.94,-66.0305,180.0,top
R13_5,63.94,-17.0305,180.0,top
R13_4,108.44,-115.0305,180.0,top
R13_3,108.44,-66.0305,180.0,top
R13_2,152.94,-17.0305,180.0,top
R13,19.44,-66.0305,180.0,top
R2_12,161.54,-79.9805,90.0,top
R2_11,28.04,-30.9805,90.0,top
R2_10,117.04,-128.9805,90.0,top
R2_9,117.04,-30.9805,90.0,top
R2_8,161.54,-30.9805,90.0,top
R2_7,28.04,-79.9805,90.0,top
R2_6,72.54,-128.9805,90.0,top
R2_5,72.54,-30.9805,90.0,top
R2_4,28.04,-128.9805,90.0,top
R2_3,161.54,-128.9805,90.0,top
R2_2,72.54,-79.9805,90.0,top
R2,117.04,-79.9805,90.0,top
R4_12,49.425,-70.6255,270.0,top
R4_11,138.425,-21.6255,270.0,top
R4_10,93.925,-119.6255,270.0,top
R4_9,49.425,-21.6255,270.0,top
R4_8,4.925,-21.6255,270.0,top
R4_7,93.925,-70.6255,270.0,top
R4_6,138.425,-119.6255,270.0,top
R4_5,49.425,-119.6255,270.0,top
R4_4,4.925,-70.6255,270.0,top
R4_3,138.425,-70.6255,270.0,top
R4_2,93.925,-21.6255,270.0,top
R4,4.925,-119.6255,270.0,top
R6_12,96.29,-69.8455,180.0,top
R6_11,7.29,-20.8455,180.0,top
R6_10,7.29,-69.8455,180.0,top
R6_9,96.29,-118.8455,180.0,top
R6_8,7.29,-118.8455,180.0,top
R6_7,51.79,-69.8455,180.0,top
R6_6,140.79,-20.8455,180.0,top
R6_5,51.79,-118.8455,180.0,top
R6_4,140.79,-69.8455,180.0,top
R6_3,51.79,-20.8455,180.0,top
R6_2,96.29,-20.8455,180.0,top
R6,140.79,-118.8455,180.0,top
R8_12,79.05,-19.6205,0.0,top
R8_11,123.55,-19.6205,0.0,top
R8_10,34.55,-117.6205,0.0,top
R8_9,123.55,-117.6205,0.0,top
R8_8,168.05,-68.6205,0.0,top
R8_7,168.05,-117.6205,0.0,top
R8_6,168.05,-19.6205,0.0,top
R8_5,34.55,-19.6205,0.0,top
R8_4,123.55,-68.6205,0.0,top
R8_3,79.05,-68.6205,0.0,top
R8_2,34.55,-68.6205,0.0,top
R8,79.05,-117.6205,0.0,top
SW1_12,56.225,-96.638,180.0,top
SW1_11,145.225,-96.638,180.0,top
SW1_10,145.225,-145.638,180.0,top
SW1_9,100.725,-47.638,180.0,top
SW1_8,11.725,-96.638,180.0,top
SW1_7,11.725,-47.638,180.0,top
SW1_6,11.725,-145.638,180.0,top
SW1_5,100.725,-145.638,180.0,top
SW1_4,56.225,-145.638,180.0,top
SW1_3,145.225,-47.638,180.0,top
SW1_2,56.225,-47.638,180.0,top
SW1,100.725,-96.638,180.0,top
SW2_12,120.0,-145.638,180.0,top
SW2_11,31.0,-145.638,180.0,top
SW2_10,31.0,-96.638,180.0,top
SW2_9,75.5,-47.638,180.0,top
SW2_8,31.0,-47.638,180.0,top
SW2_7,75.5,-145.638,180.0,top
SW2_6,164.5,-145.638,180.0,top
SW2_5,164.5,-47.638,180.0,top
SW2_4,120.0,-47.638,180.0,top
SW2_3,164.5,-96.638,180.0,top
SW2_2,120.0,-96.638,180.0,top
SW2,75.5,-96.638,180.0,top
SW5_12,96.11,-62.148,0.0,top
SW5_11,7.11,-13.148,0.0,top
SW5_10,51.61,-13.148,0.0,top
SW5_9,140.61,-13.148,0.0,top
SW5_8,51.61,-62.148,0.0,top
SW5_7,7.11,-62.148,0.0,top
SW5_6,140.61,-111.148,0.0,top
SW5_5,96.11,-13.148,0.0,top
SW5_4,140.61,-62.148,0.0,top
SW5_3,96.11,-111.148,0.0,top
SW5_2,7.11,-111.148,0.0,top
SW5,51.61,-111.148,0.0,top
U1_12,21.45,-125.6505,270.0,top
U1_11,65.95,-76.6505,270.0,top
U1_10,154.95,-76.6505,270.0,top
U1_9,65.95,-27.6505,270.0,top
U1_8,110.45,-125.6505,270.0,top
U1_7,21.45,-76.6505,270.0,top
U1_6,110.45,-27.6505,270.0,top
U1_5,110.45,-76.6505,270.0,top
U1_4,154.95,-27.6505,270.0,top
U1_3,154.95,-125.6505,270.0,top
U1_2,65.95,-125.6505,270.0,top
U1,21.45,-27.6505,270.0,top
U101_12,96.3375,-67.1755,0.0,top
U101_11,140.8375,-18.1755,0.0,top
U101_10,51.8375,-116.1755,0.0,top
U101_9,51.8375,-18.1755,0.0,top
U101_8,7.3375,-116.1755,0.0,top
U101_7,7.3375,-67.1755,0.0,top
U101_6,140.8375,-116.1755,0.0,top
U101_5,96.3375,-18.1755,0.0,top
U101_4,7.3375,-18.1755,0.0,top
U101_3,51.8375,-67.1755,0.0,top
U101_2,96.3375,-116.1755,0.0,top
U101,140.8375,-67.1755,0.0,top
